US_graduation,residency,GPA,Age
No,Resident,4,19
Yes,Resident,4,23
No,International,3.54,22
No,International,3.36,21
Yes,Resident,3,32
Yes,International,3.81,21
Yes,Resident,3.6,21
Yes,Resident,4,18
No,Resident,3.96,27
No,International,4,18
No,International,3.01,19
Yes,International,3.7,39
No,International,4,24
Yes,Resident,3.09,21
Yes,International,3.9,19
Yes,Resident,3.66,20
Yes,Resident,4,18
No,International,3.8,20
Yes,International,3.56,19
Yes,Resident,4,18
Yes,Resident,3.6,26
Yes,Resident,3.7,24
Yes,International,3.6,25
Yes,Resident,3.92,19
Yes,Resident,3.7,20
Yes,Resident,4,40
Yes,Resident,2.56,21
Yes,Resident,3,20
Yes,Resident,2.5,19
Yes,Resident,2.6,19
Yes,Resident,3,19
Yes,Resident,3.08,19
Yes,Resident,2.81,22
Yes,International,3.95,19
No,International,3.57,20
Yes,Resident,3.89,18
Yes,Resident,3.68,21
Yes,International,3.5,21
Yes,Resident,1.8,19
Yes,Resident,3.5,31
Yes,Resident,2.9,19
Yes,Resident,4,18
Yes,Resident,3.67,19
Yes,Resident,3.75,20
Yes,Resident,3,21
Yes,Resident,4,18
Yes,Resident,4,18
Yes,Resident,3.2,19
Yes,Resident,3.69,19
Yes,Resident,3.2,18
No,International,2.5,23
Yes,Resident,3.24,39
Yes,Resident,3.7,19
Yes,Resident,3.75,20
Yes,Resident,3,21
Yes,International,3.84,18
Yes,Resident,3,18
Yes,Resident,2.9,20
No,International,2.45,19
Yes,Resident,3.97,19
Yes,Resident,4,19
No,International,3.9,27
Yes,Resident,3.66,20
No,International,3.68,24
Yes,Resident,2.87,22
Yes,Resident,3.65,28
Yes,Resident,2.8,38
Yes,Resident,3.7,19
Yes,International,4,20
Yes,Resident,3.66,20
Yes,Resident,3,22
No,International,3.45,20
No,International,3.8,22
Yes,Resident,1.94,20
Yes,Resident,3.7,27
No,International,3.71,19
No,International,2.97,24
Yes,Resident,3.7,26
No,International,4,24
Yes,International,3.56,21
No,International,3.65,19
Yes,Resident,3.23,20
Yes,Resident,3.37,19
No,International,3.7,25
No,International,3.97,23
No,International,3.45,24
No,International,3.62,23
No,International,3.56,22
No,International,3.59,26
No,International,3.42,25
Yes,Resident,2.45,19
Yes,International,2.54,19
Yes,International,3.57,20
No,International,3.79,35
No,International,4,20
Yes,Resident,3.58,23
Yes,Resident,3.78,24
Yes,Resident,3.54,26
Yes,Resident,2.89,23
Yes,Resident,3.21,21
Yes,International,3.54,20
No,International,3.56,27
No,International,3.5,24
